Name	Schema	Create Date	Policy Health State	Owner
ave_byTA_22310	dbo	2/28/2023 4:05 PM		dbo
ave_byTA_22311	dbo	5/19/2023 3:05 PM		dbo
ave_byTA_2234	dbo	8/14/2023 2:53 PM		dbo
Ave_ByTACourse_Type_2107	dbo	12/29/2010 10:17 AM		dbo
Ave_ByTACourse_Type_21110	dbo	6/22/2011 4:08 PM		dbo
Ave_ByTACourse_Type_21111	dbo	6/22/2011 4:29 PM		dbo
Ave_ByTACourse_Type_2114	dbo	8/9/2011 3:34 PM		dbo
Ave_ByTACourse_Type_21170	dbo	10/20/2011 3:20 PM		dbo
Ave_ByTACourse_Type_21171	dbo	12/20/2011 9:32 AM		dbo
Ave_ByTACourse_Type_21210	dbo	3/1/2012 2:33 PM		dbo
Ave_ByTACourse_Type_21211	dbo	5/7/2012 7:17 PM		dbo
Ave_ByTACourse_Type_2124	dbo	8/23/2012 11:02 AM		dbo
Ave_ByTACourse_Type_21270	dbo	1/2/2013 4:55 PM		dbo
Ave_ByTACourse_Type_21271	dbo	1/2/2013 5:01 PM		dbo
Ave_ByTACourse_Type_21310	dbo	3/6/2013 11:07 AM		dbo
Ave_ByTACourse_Type_21311	dbo	5/15/2013 1:50 PM		dbo
Ave_ByTACourse_Type_2134	dbo	8/14/2013 4:44 PM		dbo
Ave_ByTACourse_Type_21370	dbo	10/17/2013 2:54 PM		dbo
Ave_ByTACourse_Type_21371	dbo	12/17/2013 9:48 AM		dbo
Ave_ByTACourse_Type_21410	dbo	3/5/2014 9:48 AM		dbo
Ave_ByTACourse_Type_21411	dbo	5/14/2014 4:23 PM		dbo
Ave_ByTACourse_Type_2144	dbo	8/25/2014 4:03 PM		dbo
Ave_ByTACourse_Type_21470	dbo	10/17/2014 10:58 AM		dbo
Ave_ByTACourse_Type_21471	dbo	12/22/2014 3:52 PM		dbo
Ave_ByTACourse_Type_21510	dbo	3/9/2015 3:45 PM		dbo
Ave_ByTACourse_Type_21511	dbo	5/29/2015 2:43 PM		dbo
Ave_ByTACourse_Type_2154	dbo	8/24/2015 2:35 PM		dbo
Ave_ByTACourse_Type_21570	dbo	10/27/2015 3:52 PM		dbo
Ave_ByTACourse_Type_21571	dbo	12/15/2015 10:43 AM		dbo
Ave_ByTACourse_Type_21610	dbo	3/9/2016 2:54 PM		dbo
Ave_ByTACourse_Type_21611	dbo	5/6/2016 4:46 PM		dbo
Ave_ByTACourse_Type_2164	dbo	8/23/2016 10:30 AM		dbo
Ave_ByTACourse_Type_21670	dbo	10/17/2016 10:54 AM		dbo
Ave_ByTACourse_Type_21671	dbo	12/14/2016 4:09 PM		dbo
Ave_ByTACourse_Type_21710	dbo	3/13/2017 4:42 PM		dbo
Ave_ByTACourse_Type_21711	dbo	5/16/2017 4:42 PM		dbo
Ave_ByTACourse_Type_2174	dbo	8/28/2017 2:03 PM		dbo
Ave_ByTACourse_Type_21770	dbo	10/13/2017 3:53 PM		dbo
Ave_ByTACourse_Type_21771	dbo	12/21/2017 3:33 PM		dbo
Ave_ByTACourse_Type_21810	dbo	3/16/2018 2:03 PM		dbo
Ave_ByTACourse_Type_21811	dbo	5/16/2018 2:03 PM		dbo
Ave_ByTACourse_Type_2184	dbo	8/31/2018 1:10 PM		dbo
Ave_ByTACourse_Type_21870	dbo	10/18/2018 2:04 PM		dbo
Ave_ByTACourse_Type_21871	dbo	12/11/2018 3:01 PM		dbo
Ave_ByTACourse_Type_21910	dbo	3/13/2019 12:49 PM		dbo
Ave_ByTACourse_Type_21911	dbo	5/15/2019 11:26 AM		dbo
Ave_ByTACourse_Type_2194	dbo	8/20/2019 9:17 AM		dbo
Ave_ByTACourse_Type_21970	dbo	10/21/2019 9:49 AM		dbo
Ave_ByTACourse_Type_21971	dbo	1/3/2020 1:04 PM		dbo
Ave_ByTACourse_Type_22010	dbo	3/10/2020 2:40 PM		dbo
Ave_ByTACourse_Type_22011	dbo	5/19/2020 9:32 AM		dbo
Ave_ByTACourse_Type_2204	dbo	8/24/2020 10:00 AM		dbo
